,marketcap
0,2801388224512
1,2256182968320
2,1973864961187
3,1838538817536
4,1607290585088
5,911205269504
6,706323546112
7,643017690000
8,634299613184
9,616221769728
10,585407135744
11,491924094976
12,455573340160
13,450653421568
14,450332557312
15,416186844948
16,412741632000
17,391855538176
18,384298287104
19,382684495872
20,373159165952
21,368550248448
22,356642815520
23,355226222592
24,349251207168
25,324384948224
26,314765246464
27,298660823040
28,274258280448
29,267081449472
30,266076258304
31,264220295168
32,259435167744
33,255699337996
34,255332784458
35,251975925760
36,242617139200
37,242236588032
38,240688676864
39,237553090560
40,232977989632
41,232685535232
42,231653588992
43,231325876224
44,229509873664
45,228762140672
46,227347073873
47,226429550592
48,222772920320
49,222481285120
50,221493624832
51,217383059456
52,215612112896
53,213715451904
54,211075973120
55,209940029742
56,203761631232
57,201197188109
58,198112018432
59,197945258317
60,197326438400
61,196188962816
62,195962421248
63,195932094464
64,195609100288
65,194328576000
66,187191541490
67,186378960896
68,183286661120
69,178517524480
70,177484349440
71,176090480640
72,170884136960
73,164901158912
74,162968748032
75,161256456192
76,157794779136
77,157033791488
78,155029553152
79,154405306368
80,153759825920
81,152954044416
82,152532615168
83,152466079744
84,152257724416
85,151957176320
86,149676916736
87,149623767040
88,148494761984
89,148317421568
90,146917982208
91,146353141030
92,144427778048
93,142969061376
94,141442646016
95,140742230016
96,140605489152
97,140071776752
98,138172416000
99,137131671552
100,136633262080
101,135489044480
102,134910550016
103,132895023104
104,132507648000
105,131676151808
106,125906845696
107,124500041728
108,124395549741
109,124295962624
110,124113117184
111,123913691136
112,123803541504
113,123549360128
114,123010965504
115,122806730752
116,121030189056
117,120882356224
118,119241146368
119,114905817204
120,114710921216
121,114640003072
122,114009343583
123,113621704704
124,113222737920
125,113172713399
126,112775667712
127,112414670848
128,112150249472
129,110040670208
130,109827554506
131,109775055438
132,109704192000
133,109593968640
134,109497065472
135,109083402240
136,108091039744
137,106844774400
138,106819207168
139,106520333203
140,105781264384
141,105501564928
142,104605253632
143,102444720128
144,102218252288
145,101962727424
146,101234106368
147,100491247616
148,100426047488
149,100334280704
150,99979640832
151,99868188672
152,99550619138
153,97737195520
154,97420555356
155,96752012231
156,96365346816
157,95966666752
158,94776606720
159,94681767365
160,94128300032
161,94016364544
162,93684514816
163,93627195392
164,92993085440
165,92164423680
166,92128374137
167,91870044160
168,90892222464
169,90180763648
170,89349734400
171,88439685120
172,88386936832
173,88339275776
174,88074002432
175,87985135616
176,87891787776
177,87215357952
178,87074054144
179,87070690774
180,86520864768
181,85824249620
182,85356666880
183,85336580096
184,85306097664
185,85259321344
186,85242600054
187,84483735552
188,84470593379
189,82821521408
190,81900385540
191,81239714898
192,80725147648
193,80706895872
194,80273244160
195,79955034112
196,79792685418
197,79706112000
198,79643082752
199,79413320783
200,78181203968
201,78057127936
202,77273284608
203,77188030464
204,77025509376
205,76998836224
206,76680282112
207,76350021632
208,74666196992
209,74635026432
210,74395762688
211,74155587283
212,73682640896
213,73616596992
214,73428123648
215,73307824128
216,73210363904
217,73200058368
218,73076536726
219,72832106496
220,72495366144
221,72284856320
222,72016060416
223,71737270272
224,71695474688
225,71694423079
226,71654949894
227,71636033536
228,71546314752
229,71372534141
230,71072890143
231,70566723584
232,70513983488
233,70130343936
234,70112141312
235,70065963008
236,69911969792
237,69479710720
238,69382234112
239,68587487232
240,68371914752
241,68257226752
242,68044983538
243,67801953595
244,67654168576
245,67103973376
246,67041053666
247,66930458624
248,66837958656
249,66793934199
250,66783784960
251,66026883263
252,65768890368
253,65010028544
254,64981471232
255,64930320384
256,64580890624
257,64120782460
258,64084470091
259,63758041088
260,63729309867
261,63610028032
262,63545088394
263,63506628933
264,63412641792
265,63140442112
266,63041392640
267,62983163904
268,62875219841
269,62862266368
270,62823707561
271,62748143616
272,62557212672
273,62064764068
274,61935034368
275,61909667840
276,61619774470
277,61528485888
278,61146316800
279,61035048451
280,60772964872
281,60710511977
282,60693467136
283,60390764544
284,60203315200
285,59965300736
286,59841818624
287,59824594944
288,59811778560
289,59754516480
290,59570254649
291,59544879104
292,59244101632
293,59225432064
294,59112501248
295,59081203712
296,59037229056
297,58888962048
298,58886464794
299,58564948379
300,58517344256
301,58313752576
302,58251022336
303,58133241856
304,57915390448
305,57881939968
306,57599507932
307,57390288896
308,57123487744
309,56863621120
310,56852189184
311,56608559104
312,56595697664
313,56514113536
314,56428866265
315,56400367616
316,56018936373
317,55670811566
318,55630299136
319,55345451008
320,55291465728
321,55149494272
322,55012036988
323,54690713600
324,54565130614
325,54496083968
326,54229498276
327,54157983744
328,54076403712
329,54066548736
330,53883305984
331,53765569495
332,53499195392
333,53397282816
334,53274005504
335,52968153088
336,52919349248
337,52899102720
338,52756832256
339,52720259072
340,52540022240
341,52367523840
342,52232130560
343,52192509952
344,52090929152
345,52044845056
346,51848277153
347,51777498585
348,51685810176
349,51654283264
350,51555225600
351,51438059520
352,51304112128
353,50735386624
354,50635665408
355,50533453824
356,50416558080
357,50304004323
358,50259386368
359,50230468608
360,50058027008
361,50044506112
362,50031000537
363,49788047360
364,49582331859
365,49222066176
366,49142386688
367,49112269205
368,48937943040
369,48745824256
370,48580430839
371,48564085096
372,48541859205
373,48395919360
374,47876298053
375,47831591550
376,47619878912
377,47550640128
378,47504846848
379,47357285574
380,47316209656
381,47152767892
382,47141203968
383,47108868580
384,46980554752
385,46893400064
386,46834429952
387,46820073472
388,46753062912
389,46677688320
390,46628245504
391,46619684864
392,46562639872
393,46552281088
394,46477905920
395,46209810620
