,totalratings
0,33
1,41
2,26
3,6
4,1
5,119
6,20
7,15
8,3
9,133
10,4
11,67
12,29
13,924
14,9
15,24
16,10
17,2898
18,649
19,378
20,337
21,6107
22,416
23,120
24,7019
25,52
26,127
27,1
28,44
29,302
30,13
31,46
32,90
33,56
34,8
35,337
36,7
37,5154
38,7
39,4
40,198
41,8033
42,110
43,419
44,2
45,60
46,202
47,6
48,1
49,320
50,1606
51,1035
52,338
53,239
54,307
55,200
56,161
57,252
58,357
59,273
60,141
61,202
62,163
63,34
64,46
65,15
66,1301
67,14293
68,598
69,18
70,133
71,612
72,6
73,53
74,1
75,94
76,11
77,7
78,79
79,194
80,97
81,51
82,297
83,43
84,938
85,649
86,1
87,502
88,741
89,116
90,34
91,32
92,0
93,79
94,36456
95,261
96,13
97,207
98,39
99,102
100,162
101,26
102,900
103,1223
104,43
105,45
106,29
107,666
108,975
109,77
110,166
111,2051
112,1246
113,1210
114,768
115,533
116,8
117,5
118,1267
119,7545
120,1497
121,698
122,1205
123,1443
124,118
125,4812
126,1
127,169
128,46
129,2
130,29
131,9
132,2
133,4
134,1987
135,1066
136,947
137,106
138,905
139,6147
140,14
141,149
142,116
143,9
144,33
145,2
146,29
147,19
148,472
149,91
150,48
151,33
152,94
153,14
154,4
155,21744
156,47
157,1235
158,14717
159,305
160,9807
161,377
162,6556
163,476789
164,1422
165,845
166,10
167,878
168,4622
169,51
170,1
171,90
172,55
173,1126
174,4
175,97
176,630
177,328
178,677
179,10
180,59
181,16
182,13
183,401
184,1199
185,300
186,448
187,81
188,26
189,65
190,341
191,23
192,491
193,66
194,1
195,546
196,46
197,35
198,678
199,218
200,70
201,170
202,435
203,95
204,57
205,50
206,16
207,1509
208,8138
209,3197
210,4
211,1453
212,372
213,180
214,16
215,475
216,321
217,32
218,177
219,86
220,531
221,193
222,54
223,79
224,160
225,1174
226,261
227,4
228,7
229,397
230,254
231,13
232,280
233,316
234,2
235,349
236,13185
237,0
238,12
239,748
240,11
241,89
242,460
243,38
244,21435
245,9
246,185
247,20406
248,193
249,66
250,80
251,2754
252,199905
253,12
254,595
255,2
256,20
257,1649
258,218
259,965
260,412
261,878
262,2278
263,79
264,339
265,54
266,1025
267,18
268,858
269,50
270,27016
271,2552
272,756
273,2344
274,2233
275,21
276,9596
277,4
278,3738
279,562
280,31
281,696
282,12660
283,60
284,1005
285,1
286,3463
287,127
288,527
289,3257
290,9
291,42
292,167
293,5754
294,860
295,988
296,10
297,107
298,159
299,2548
300,13
301,2306
302,9
303,65021
304,12079
305,65
306,48
307,930
308,85
309,5486
310,14516
311,224
312,322
313,508
314,0
315,2203
316,4101
317,2999
318,17832
319,11
320,514
321,141
322,27119
323,3663
324,336
325,235
326,0
327,68
328,2906
329,119
330,556
331,55
332,62
333,471
334,249
335,44
336,115
337,93
338,304
339,615
340,5350
341,332
342,3996
343,697
344,1105
345,104
346,48
347,1462
348,293
349,6277
350,319
351,923
352,14
353,7
354,150
355,7
356,150
357,799
358,326
359,2821
360,567
361,105
362,35
363,819
364,2950
365,17
366,40
367,9
368,350
369,44
370,3411
371,101
372,19
373,1008
374,245
375,1243
376,44
377,246
378,0
379,7176
380,23
381,106
382,107
383,1586
384,1561
385,389
386,303
387,112
388,212
389,31
390,45
391,329
392,367
393,128
394,87
395,5359
396,822
397,31
398,79
399,453
400,53
401,313
402,7
403,17
404,7
405,12
406,43
407,17
408,9
409,449
410,941
411,220
412,156
413,85
414,34
415,389
416,19
417,3
418,21
419,4064
420,124
421,17
422,1022
423,377
424,287
425,597
426,79019
427,88
428,4
429,65
430,38
431,4146
432,4200
433,117
434,4139
435,135
436,1418
437,33438
438,3020
439,14802
440,17
441,12
442,9
443,171
444,3231
445,78
446,777
447,80
448,6
449,59
450,4
451,9989
452,4354
453,0
454,7334
455,10345
456,3135
457,131
458,27
459,7
460,444
461,20
462,379
463,225
464,36
465,192
466,598
467,176
468,766
469,12794
470,50
471,143
472,244
473,479
474,79
475,42
476,13
477,14
478,2
479,2299
480,422
481,64
482,22
483,1156
484,1359
485,6
486,167
487,778
488,179
489,1
490,6
491,9287
492,55
493,13
494,4
495,7
496,68
497,1768
498,34
499,298
500,376
501,796
502,4902
503,204
504,143
505,357
506,34
507,221
508,178
509,66
510,145
511,58
512,172
513,42
514,4
515,15
516,13
517,233
518,45
519,10
520,101
521,677
522,101
523,188
524,8
525,19
526,224
527,1
528,52
529,96
530,41
531,12
532,31
533,512
534,490
535,3834
536,160843
537,326
538,6
539,5
540,3904
541,0
542,6
543,744
544,28
545,139
546,360
547,32
548,16
549,829
550,1039
551,126
552,23
553,557
554,216
555,5
556,7282
557,343
558,354
559,0
560,1542
561,311
562,1878
563,49
564,17
565,192
566,337
567,118
568,75
569,370
570,6
571,248
572,126
573,31
574,74
575,180
576,1
577,99
578,71
579,2755
580,204
581,107
582,545
583,36
584,53110
585,3124
586,0
587,498
588,91
589,139
590,2441
591,3
592,839
593,36752
594,26
595,14
596,2099
597,17
598,106
599,619
600,293
601,1102
602,9
603,17
604,2
605,3
606,0
607,1802
608,163
609,3841
610,406
611,1
612,260
613,60
614,692
615,79
616,262
617,1331
618,131
619,148
620,331
621,7
622,2876
623,897
624,8
625,11
626,31
627,6
628,279
629,90
630,115
631,7
632,1478
633,807
634,82
635,43
636,7
637,2
638,2
639,29
640,8
641,38
642,94
643,35
644,90
645,11
646,16
647,152
648,157
649,168
650,86
651,9187
652,1203
653,47
654,28
655,20
656,4422
657,189
658,70
659,192
660,303
661,158
662,662
663,8
664,2792
665,500
666,8
667,30
668,462
669,27
670,5774
671,43
672,169
673,108
674,968
675,24
676,31
677,45
678,14
679,190
680,482
681,77
682,4319
683,1
684,4
685,172
686,21
687,4391
688,10
689,1416
690,38
691,22
692,1794
693,2794
694,93
695,58572
696,267
697,24
698,1585
699,15
700,100
701,34
702,82
703,581
704,515
705,0
706,120
707,50
708,68
709,1273
710,397
711,2731
712,1
713,44
714,805
715,158
716,136
717,52
718,1513
719,43
720,6
721,3377
722,1356
723,139
724,9
725,574
726,128
727,230
728,676
729,473
730,553
731,410
732,21
733,1173
734,277
735,10
736,4143
737,2093
738,4
739,66
740,49
741,38
742,40
743,1163
744,1114
745,1690
746,1091
747,1155
748,627
749,84
750,145
751,11
752,319
753,65
754,37
755,314
756,984
757,620
758,404
759,681
760,4
761,87
762,149
763,10
764,57
765,139
766,2769
767,339
768,246
769,15
770,4767
771,4
772,150
773,6767
774,4
775,1152
776,121
777,120
778,445
779,532
780,419
781,81
782,81
783,1
784,422
785,639
786,66
787,81877
788,36
789,25
790,83767
791,72
792,25
793,2901
794,65
795,4456
796,11
797,16
798,19
799,1375
800,20
801,29
802,2310
803,1340
804,1265
805,135
806,116
807,2479
808,5017
809,30
810,113
811,7
812,1
813,361
814,325
815,939
816,32
817,156
818,32
819,22
820,11
821,0
822,365
823,175
824,25
825,2
826,48
827,274
828,78
829,306
830,130
831,743
832,17
833,429
834,2
835,391
836,24
837,8863
838,17
839,5
840,369
841,87
842,252
843,1973
844,1797
845,180
846,1501
847,746
848,406
849,6
850,423
851,3515
852,293
853,287
854,40
855,14
856,3143
857,1802
858,2760
859,37
860,361
861,1051
862,745
863,1087
864,28
865,468
866,113
867,425
868,211
869,277
870,55
871,3441
872,12384
873,369
874,12
875,3907
876,432
877,314
878,6
879,248
880,69
881,348
882,140
883,27
884,28
885,387
886,1999
887,37
888,529
889,1932
890,16
891,54
892,353
893,15
894,2054
895,1197
896,9
897,1700
898,1656
899,110
900,143
901,1106
902,3
903,17
904,4
905,0
906,7524
907,98
908,13
909,60
910,1
911,28
912,1241
913,212
914,32
915,164
916,1
917,28
918,991
919,1318
920,508
921,71
922,1934
923,242
924,36
925,42
926,86
927,232
928,11
929,549
930,508
931,692
932,0
933,124
934,675
935,183
936,30
937,1063
938,1
939,248
940,173
941,0
942,401
943,298
944,447
945,160
946,2618
947,21
948,79
949,84
950,14002
951,14
952,1453
953,1247
954,1263
955,400
956,386
957,64
958,88
959,78955
960,84
961,61
962,34
963,79
964,21470
965,207
966,33
967,434
968,688
969,1606
970,4
971,9728
972,0
973,109
974,37
975,2
976,7
977,22
978,5778
979,182
980,1510
981,278
982,3
983,280
984,3208
985,305
986,19100
987,681
988,22
989,2
990,1065
991,84
992,43
993,173
994,305
995,167
996,141
997,9
998,8
999,194
1000,23
1001,8
1002,9
1003,99
1004,259
1005,14367
1006,49
1007,658
1008,4
1009,1637
1010,42
1011,132
1012,221
1013,1565
1014,2178
1015,3481
1016,43
1017,92790
1018,428
1019,89
1020,1773
1021,8
1022,21
1023,154
1024,46
1025,236
1026,33
1027,5
1028,306
1029,181
1030,108
1031,26
1032,272
1033,65
1034,67
1035,17053
1036,4
1037,37
1038,981
1039,108
1040,32
1041,576
1042,279
1043,288
1044,299
1045,30
1046,27
1047,5547
1048,3984
1049,7414
1050,4544
1051,129
1052,20
1053,1460
1054,14
1055,2
1056,7
1057,4
1058,14
1059,11
1060,5
1061,2
1062,1309
1063,3
1064,28
1065,743
1066,15
1067,0
1068,74
1069,209
1070,7770
1071,2660
1072,33
1073,252
1074,517
1075,886
1076,1054
1077,11
1078,92
1079,163
1080,14214
1081,28
1082,22
1083,98
1084,22
1085,151
1086,1261
1087,71
1088,91
1089,921
1090,685
1091,277
1092,52
1093,34
1094,206
1095,4977
1096,177
1097,5
1098,5970
1099,51
1100,6270
1101,173
1102,288
1103,33
1104,34
1105,47
1106,151
1107,30
1108,774
1109,1019
1110,191
1111,13
1112,9
1113,2257
1114,7
1115,12
1116,67
1117,9
1118,1
1119,235
1120,15007
1121,112
1122,960
1123,103
1124,6
1125,7
1126,6
1127,224
1128,2
1129,5
1130,2114
1131,70
1132,98
1133,173
1134,40
1135,91
1136,486
1137,1317
1138,87
1139,109
1140,6
1141,284
1142,40
1143,17
1144,31
1145,176
1146,472
1147,0
1148,83
1149,7
1150,33
1151,5
1152,8
1153,505
1154,12
1155,360
1156,213
1157,5
1158,214
1159,23
1160,1480
1161,1118
1162,45
1163,85
1164,9468
1165,8
1166,497
1167,8921
1168,55
1169,227
1170,123
1171,149
1172,46
1173,56
1174,1000
1175,169
1176,3008
1177,2
1178,50
1179,111
1180,129
1181,0
1182,301
1183,5064
1184,285
1185,153
1186,132
1187,249
1188,11978
1189,397
1190,149
1191,7
1192,145
1193,33
1194,5268
1195,73
1196,456
1197,69
1198,135
1199,40
1200,5168
1201,29
1202,363
1203,41
1204,217
1205,341
1206,85
1207,4
1208,47
1209,272
1210,298
1211,77
1212,227
1213,190
1214,175
1215,63
1216,26
1217,14760
1218,10
1219,2
1220,652
1221,1039
1222,18
1223,510
1224,835
1225,42
1226,0
1227,9103
