,total_cases
0,5.0
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,5.0
12,8.0
13,8.0
14,8.0
15,8.0
16,11.0
17,11.0
18,11.0
19,14.0
20,20.0
21,25.0
22,26.0
23,26.0
24,26.0
25,24.0
26,24.0
27,34.0
28,40.0
29,42.0
30,74.0
31,80.0
32,91.0
33,106.0
34,114.0
35,114.0
36,166.0
37,192.0
38,235.0
39,269.0
40,270.0
41,299.0
42,337.0
43,367.0
44,423.0
45,444.0
46,521.0
47,521.0
48,555.0
49,607.0
50,665.0
51,770.0
52,794.0
53,845.0
54,908.0
55,933.0
56,996.0
57,1026.0
58,1092.0
59,1176.0
60,1226.0
61,1330.0
62,1463.0
63,1531.0
64,1703.0
65,1827.0
66,1827.0
67,2171.0
68,2469.0
69,2469.0
70,2469.0
71,2469.0
72,3224.0
73,3392.0
74,3563.0
75,3563.0
76,4402.0
77,4664.0
78,4967.0
79,4967.0
80,5339.0
81,6053.0
82,6402.0
83,6635.0
84,7072.0
85,7655.0
86,8145.0
87,8676.0
88,9216.0
89,9952.0
90,10668.0
91,11180.0
92,11917.0
93,12465.0
94,13102.0
95,13745.0
96,14529.0
97,15180.0
98,15836.0
99,16578.0
100,17353.0
101,17977.0
102,19055.0
103,19637.0
104,20428.0
105,21003.0
106,21308.0
107,22228.0
108,22976.0
109,23632.0
110,24188.0
111,24852.0
112,25613.0
113,25719.0
114,26960.0
115,27423.0
116,27964.0
117,28383.0
118,28919.0
119,29229.0
120,29567.0
121,29726.0
122,30261.0
123,30346.0
124,30702.0
125,31053.0
126,31324.0
127,31445.0
128,31848.0
129,32108.0
130,32410.0
131,32758.0
132,33037.0
133,33150.0
134,33470.0
135,33680.0
136,33739.0
137,34280.0
138,34437.0
139,34537.0
140,34541.0
141,34826.0
142,35026.0
143,35156.0
144,35315.0
145,35375.0
146,35561.0
147,35595.0
148,35701.0
149,35813.0
150,36001.0
151,36067.0
152,36122.0
153,36243.0
154,36349.0
155,36454.0
156,36557.0
157,36628.0
158,36628.0
159,36796.0
160,36796.0
161,36796.0
162,36833.0
163,36915.0
164,36982.0
165,37023.0
166,37101.0
167,37140.0
168,37140.0
169,37355.0
170,37431.0
171,37510.0
172,37517.0
173,37637.0
174,37682.0
175,37682.0
176,37685.0
177,37685.0
178,37845.0
179,37942.0
180,37980.0
181,38039.0
182,38085.0
183,38156.0
184,38199.0
185,38215.0
186,38226.0
187,38229.0
188,38229.0
189,38248.0
190,38282.0
191,38329.0
192,38374.0
193,38374.0
194,38390.0
195,38484.0
196,38580.0
197,38606.0
198,38630.0
199,38658.0
200,38692.0
201,38727.0
202,38802.0
203,38858.0
204,38901.0
205,38941.0
206,38958.0
207,38969.0
208,39005.0
209,39130.0
210,39160.0
211,39182.0
212,39231.0
213,39256.0
214,39272.0
215,39278.0
216,39313.0
217,39325.0
218,39340.0
219,39354.0
220,39371.0
221,39376.0
222,39383.0
223,39427.0
224,39508.0
225,39572.0
226,39634.0
227,39702.0
228,39779.0
229,39789.0
230,39885.0
231,39956.0
232,40014.0
233,40080.0
234,40112.0
235,40159.0
236,40227.0
237,40286.0
238,40373.0
239,40461.0
240,40461.0
241,40510.0
242,40626.0
243,40687.0
244,40768.0
245,40833.0
246,40937.0
247,41032.0
248,41145.0
