,r_distance
0,1727.64
1,2119.69
2,187.871
3,1565.86
4,2291.91
5,470.169
6,265.966
7,439.034
8,488.3265
9,303.886
10,536.055
11,831.31
12,1327.56
13,1383.11
14,635.319
15,292.384
16,760.41
17,2266.79
18,341.15
19,336.723
20,823.652
21,399.375
22,737.47
23,236.416
24,411.698
25,220.031
26,223.723
27,165.538
28,593.351
29,992.814
30,1351.36
31,580.148
32,678.83
33,2192.41
34,2670.59
35,487.175
36,478.991
37,195.637
38,80.0659
39,594.424
40,372.978
41,269.283
42,1895.81
43,3895.41
44,1826.16
45,588.141
46,164.103
47,1184.42
48,1017.78
49,259.452
50,334.92
51,947.607
52,321.703
53,171.503
54,783.766
55,169.985
56,146.3805
57,460.069
58,2066.08
59,294.564
60,1103.05
61,483.483
62,83.05695
63,1138.9
64,303.703
65,733.152
66,793.147
67,837.062
68,344.537
69,5104.42
70,2653.13
71,360.577
72,1101.345
73,570.666
74,1923.89
75,81.893
76,415.25
77,1514.92
78,970.995
79,596.072
80,721.419
81,235.849
82,3757.16
83,172.815
84,265.543
85,670.947
86,450.323
87,655.332
88,996.288
89,742.906
90,292.343
91,813.257
92,2794.57
93,7233.17
94,1341.89
95,2168.48
96,315.193
97,2501.43
98,853.315
99,1080.62
100,415.943
101,2325.84
102,315.054
103,990.576
104,197.908
105,3739.8
106,245.165
107,1159.23
108,305.362
109,298.0715
110,719.869
111,571.829
112,397.806
113,984.813
114,3438.92
115,1983.97
116,652.748
117,853.248
118,220.361
119,432.131
120,1262.68
121,361.36
122,877.571
123,905.937
124,195.781
125,331.183
126,1144.92
127,2339.45
128,629.514
129,2391.11
130,777.122
131,886.23
132,1867.78
133,365.34
134,1192.26
135,615.586
136,118.78
137,1966.91
138,1803.515
139,1358.98
140,84.5326
141,376.739
142,1023.18
143,1253.59
144,161.176
145,887.334
146,931.201
147,1063.26
148,1409.61
149,378.415
150,5269.17
151,928.585
152,1114.44
153,715.734
154,1067.6
155,329.216
156,2121.84
157,3403.92
158,314.094
159,225.8428
160,327.622
161,187.763
162,3768.61
163,868.677
164,325.592
165,1818.35
166,769.558
167,2488.05
168,996.056
169,2290.74
170,478.441
171,1253.33
172,1235.21
173,181.887
174,428.524
175,2518.47
176,3682.13
177,378.745
178,1425.19
179,428.528
180,2372.4
181,121.327
182,817.939
183,516.191
184,297.785
185,288.979
186,3222.72
187,970.638
188,1010.23
189,638.825
190,616.977
191,1659.73
192,486.443
193,5006.76
194,678.572
195,2884.27
196,342.142
197,785.466
198,1421.21
199,270.857
200,3085.33
201,1288.95
202,565.1555
203,400.06
204,250.217
205,1792.4
206,2072.46
207,1119.26
208,987.686
209,250.094
210,1255.51
211,1165.43
212,2319.88
213,1099.3
214,2234.39
215,188.677
216,300.403
217,2444.07
218,617.34
219,625.166
220,4018.16
221,2836.0
222,297.936
223,2118.7
224,641.225
225,1110.0
226,2857.97
227,2344.38
228,332.772
229,7408.68
230,1036.74
231,569.901
232,331.467
233,220.897
234,320.748
235,658.714
236,417.112
237,1736.82
238,691.685
239,1842.82
240,1267.66
241,185.858
242,527.991
243,573.229
244,966.801
245,1828.11
246,347.058
247,412.287
248,2167.08
249,321.173
250,735.547
251,1779.28
252,1982.49
