,Smoking
0,6393.667372
1,6429.25332
2,6561.054957
3,6731.97256
4,6889.328118
5,6946.955866
6,7040.420959
7,7155.470207
8,7266.191855
9,7356.558353
10,7409.526289
11,7516.431973
12,7566.578463
13,7611.786762
14,7655.32688
15,7680.858495
16,7729.408854
17,7781.058467
18,7875.932203
19,7929.28805
20,7945.426626
21,8046.937583
22,8156.920612
23,8309.869419
24,8488.531529
25,8683.697759
26,8925.85525
27,9241.250845
28,2460.273254
29,2592.060349
30,2549.67171
31,2480.304973
32,2377.562989
33,2442.308068
34,2595.63016
35,2704.63705
36,2784.122253
37,2824.513203
38,2845.78146
39,2870.050531
40,2971.644895
41,3081.14926
42,3157.682348
43,3172.708046
44,3175.982353
45,3122.432838
46,3209.823755
47,3253.347083
48,3335.402402
49,3469.749551
50,3582.079823
51,3713.108075
52,3869.697735
53,3969.522821
54,4066.509719
55,4161.156448
56,12123.99939
57,12357.28142
58,12616.45441
59,12892.59573
60,13061.86171
61,13381.91878
62,13635.21949
63,13856.4882
64,14038.05882
65,14328.24095
66,14541.42292
67,14707.59578
68,14860.05669
69,15105.33641
70,15212.88307
71,15319.52721
72,15430.10206
73,15562.58404
74,15696.50785
75,15900.63121
76,16098.26262
77,16390.7513
78,16681.84707
79,17002.61471
80,17346.82352
81,17734.43196
82,18130.961
83,18609.93068
84,22.703707
85,23.45787925
86,24.02243072
87,24.28446075
88,24.61269476
89,24.78198794
90,24.95653084
91,25.07356817
92,25.20141786
93,25.58135103
94,25.2751052
95,25.32170957
96,25.4236961
97,25.67552962
98,25.89994025
99,25.9599682
100,26.11873313
101,26.42911783
102,26.70722125
103,27.31448536
104,27.63306327
105,28.02622528
106,28.48216818
107,28.98685253
108,29.3990973
109,30.14497933
110,30.66977438
111,31.21813943
112,11958.87161
113,11975.59799
114,12439.05411
115,12675.64733
116,12582.60401
117,12709.22718
118,12741.98584
119,12621.62468
120,12742.70555
121,12571.34352
122,12576.835
123,12497.78953
124,12957.51358
125,13437.12923
126,13793.26932
127,14114.46963
128,14223.00445
129,14466.63633
130,14908.44867
131,15537.96897
132,15902.3561
133,15996.78569
134,15923.6834
135,15708.48984
136,15505.91973
137,15462.06182
138,15636.97989
139,15795.109
140,50.71296526
141,53.42816608
142,56.59156806
143,60.05497434
144,61.29174237
145,61.85391665
146,62.18389207
147,62.59922514
148,63.11528574
149,63.58413001
150,64.82088966
151,66.04532976
152,67.63311229
153,70.28616216
154,72.35256578
155,72.98331052
156,74.36726157
157,76.66407092
158,78.95390321
159,80.91407934
160,81.94088746
161,74.26488387
162,71.68970163
163,72.60626024
164,73.85076758
165,75.15658304
166,76.94589601
167,79.71227957
168,5669.806481
169,5813.113375
170,5977.649483
171,6206.338224
172,6405.455883
173,6513.864398
174,6481.705743
175,6560.128455
176,6975.28024
177,7019.785223
178,7146.192687
179,7168.831512
180,7108.745112
181,7227.426874
182,7483.239361
183,7443.403145
184,7603.755569
185,7638.257827
186,7704.212989
187,7844.18095
188,7945.754484
189,8100.544792
190,8309.634936
191,8414.5509
192,8349.86568
193,8495.388466
194,8628.288562
195,8810.716924
196,32.91924145
197,32.46567995
198,32.81215327
199,33.10657983
200,33.39831895
201,33.92585301
202,34.00715967
