,Count
0,54211
1,8996973
2,5454933
3,1608800
4,13411
5,92418
6,20481779
7,1874121
8,20123
9,54131
10,10276477
11,7047539
12,3895397
13,2797932
14,9153489
15,2431622
16,4829288
17,48013504
18,7867374
19,162427
20,109534
21,3225668
22,8198000
23,92064
24,44400
25,3656955
26,72179226
27,230980
28,81702
29,223288
30,502745
31,1501668
32,17909009
33,5327827
34,109420
35,8132990
36,667070000
37,3503553
38,5176918
39,15248251
40,1018253
41,16057724
42,191121
43,201765
44,1330782
45,4194710
46,7141250
47,124826
48,7865
49,572930
50,9602006
51,72814900
52,83636
53,60011
54,4579603
55,3294224
56,11057863
57,4543666
58,26632894
59,1007590
60,30455000
61,1211537
62,22151278
63,4429634
64,393481
65,46621669
66,34615
67,44514
68,500928
69,52400000
70,3645600
71,6635230
72,23420
73,3494162
74,365047
75,616136
76,255333
77,8331725
78,89932
79,32500
80,4210747
81,66742
82,571819
83,3075605
84,2038632
85,4140181
86,3866159
87,9983967
88,87751068
89,48442
90,450547679
91,2828600
92,21906914
93,7289760
94,175574
95,2114020
96,50199700
97,1628520
98,933102
99,92500572
100,9934563
101,8120080
102,2172300
103,5722370
104,41202
105,51195
106,25012374
107,269029
108,2120898
109,1804941
110,1118657
111,1448417
112,89697
113,16493
114,9874476
115,837270
116,2778550
117,313970
118,2120979
119,167791
120,3893
121,12328532
122,22452
123,2544000
124,5099373
125,89863
126,37771859
127,14662
128,1488667
129,5263733
130,326550
131,21736942
132,480579
133,955505
134,9979
135,7184869
136,850384
137,659351
138,3659984
139,8156347
140,634142
141,79000
142,3388764
143,45138458
144,1773129
145,11486631
146,3581239
147,10105050
148,4375
149,2371800
150,551740
151,44988690
152,1132997
153,10155015
154,26269734
155,9771
156,2255859
157,29637450
158,2358000
159,11424176
160,8857716
161,1903982
162,865072
163,78076
164,47384
165,18406905
166,119897000
167,2935582
168,4086539
169,7544491
170,3206749
171,1646400
172,117849
173,2317636
174,2766324
175,15432
176,2755972
177,2842724
178,64302
179,287871
180,4068095
181,1584720
182,7484656
183,336583
184,41700
185,4573512
186,5824
187,3001609
188,1580513
189,27397207
190,2087049
191,1603258
192,474532
193,61577
194,847979
195,4178236
196,27472345
197,5323
198,10052152
199,6767095
200,42664652
201,2538643
202,180671000
203,8526300
204,80977
205,8141841
206,8048
207,32500
208,32670039
209,63689
210,108629
211,947000
212,5315355
213,17099840
214,3070776
215,3776681
216,55438
217,9169410
218,5531472
219,1659800
220,14375
221,100796
222,20817266
223,1941492
224,20602
225,55001
226,10483000
227,7086299
228,4030322
229,2852438
230,9183948
231,2465867
232,4894580
233,49362843
234,7943118
235,167894
236,115121
237,3288603
238,8271216
239,94703
240,45500
241,3728964
242,74311343
243,231718
244,85562
245,228851
246,512685
247,1526066
248,18271000
249,5434294
250,110399
251,8303811
252,660330000
253,3631553
254,5285017
255,15637699
256,1043116
257,16567811
258,194139
259,205327
260,1381183
261,4274060
262,7291200
263,126125
264,8026
265,576395
266,9586651
267,73377632
268,88498
269,61032
270,4611687
271,3406280
272,11336339
273,4674172
274,27366237
275,1033328
276,30739250
277,1225077
278,22671191
279,4461005
280,407249
281,47240543
282,35076
283,45932
284,505799
285,52800000
286,3703600
287,6848295
288,23813
289,3552065
290,372445
291,622761
292,258791
293,8398050
294,91327
295,33700
296,4336143
297,68072
298,589274
299,3168100
300,2096409
301,4167292
302,3941944
303,10029321
304,90098394
305,48281
306,459642165
307,2824400
308,22480372
309,7475350
310,179029
311,2185000
312,50536350
313,1651073
314,973988
315,94943000
316,10349414
317,8377696
318,2255900
319,5872966
320,42229
321,51192
322,25765673
323,300576
324,2170344
325,1864619
326,1142302
327,1498071
328,90716
329,16893
330,10111637
331,852890
332,2823550
333,316845
334,2152681
335,170462
336,3989
337,12710581
338,22808
339,2605000
340,5223568
341,92325
342,38966056
343,15051
344,1507654
345,5322266
346,325250
347,22211624
348,491140
349,982178
350,10245
351,7342111
352,875581
353,680757
354,3747753
355,8417824
356,649279
357,81200
358,3486326
359,46063563
360,1829778
361,11638712
362,3609800
363,10267264
364,4632
365,2419700
366,564893
367,46065231
368,1167113
369,10446620
370,27161047
371,10049
372,2297059
373,29964000
374,2399722
375,11665595
376,8929316
377,1954548
378,893380
379,80706
380,51421
381,18555250
382,121236000
383,2998325
384,4218853
385,7769482
386,3295278
387,1702400
388,121378
389,2352363
390,2846600
391,15837
392,2814118
393,2895605
394,64602
395,295916
396,4191667
397,1594131
398,7519998
399,343345
400,42889
401,4721896
402,5874
403,3060368
404,1597526
405,28224187
406,2159134
407,1658362
408,482854
409,63715
410,864818
411,4238142
412,28146910
413,5335
414,10346697
415,6983818
416,43206345
417,2571681
418,183691000
419,8813616
420,82169
421,8439261
422,8167
423,34300
424,33666110
425,65705
426,112105
427,966000
428,5393036
429,17524533
430,3164329
431,3905034
432,56225
433,9351441
434,5608539
435,1711319
436,15370
437,112118
438,21153052
439,2009526
440,21253
441,55841
442,10742000
443,7129864
444,4171426
445,2907321
446,9220578
447,2502896
448,4960326
449,50752157
450,8012946
451,173144
452,121091
453,3353226
454,8351928
455,97384
456,46600
457,3802990
458,76514328
459,232633
460,89481
461,234554
462,523778
463,1551910
464,18614000
465,5573815
466,111457
467,8476897
468,665770000
469,3770766
470,5398729
471,16041190
472,1069238
473,17092918
474,197198
475,210142
476,1433335
477,4353628
478,7453540
479,128414
480,8146
481,577691
482,9624660
483,74025784
484,94204
485,61982
486,4647727
487,3521018
488,11619828
489,4809201
490,28112256
491,1060486
492,31023366
493,1241623
494,23221389
495,4491443
496,421665
497,47904877
498,35524
499,47367
500,511287
501,53250000
502,3760300
503,7071971
504,24313
505,3611429
506,379894
507,628883
508,262219
509,8448233
510,92484
511,35000
512,4464249
513,69604
514,606285
515,3305200
516,2155647
517,4196712
518,4019173
519,10061734
520,92518377
521,48418
522,469077190
523,2836050
524,23071315
525,7674220
526,182378
527,2293000
528,50879450
529,1676501
530,1010658
531,95832000
532,10756928
533,8647011
534,2333400
535,6028431
536,43281
537,50963
538,26513030
539,337348
540,2221125
541,1925297
542,1166648
543,1550813
544,91891
545,17289
546,10352179
547,869136
548,2863350
549,320750
550,2181586
551,176183
552,4076
553,13094888
554,23039
555,2664000
556,5352503
557,94905
558,40195319
559,15547
560,1527111
561,5381368
562,323900
563,22697667
564,502558
565,1011324
566,10436
567,7507303
568,901686
569,700349
570,3839043
571,8692342
572,665115
573,83400
574,3588228
575,47029822
576,1887425
577,11805689
578,3638918
579,10433145
580,4944
581,2482000
582,578823
583,47198878
584,1202449
585,10749466
586,28077339
587,10317
588,2340352
589,30308500
590,2450322
591,11871712
592,8993985
593,2006670
594,923306
595,83655
596,56262
597,18676550
598,122591000
599,3052936
600,4362786
601,8004121
602,3386806
603,1750200
604,125040
605,2388769
606,2931192
607,16255
608,2874218
609,2951043
610,64479
611,303895
612,4238188
613,1603649
614,7561588
615,350156
616,44042
617,4875422
618,5884
619,3121236
620,1612755
621,29080938
622,2236574
623,1715408
624,491571
625,66235
626,879441
627,4305481
628,28832827
629,5340
630,10651962
631,7215796
632,43752230
633,2603882
634,186538000
635,9113620
636,83237
637,8742777
638,8310
639,35000
640,34683407
641,67794
642,115776
643,994000
644,5473671
645,17965725
646,3260650
647,4039201
648,56695
649,9543205
650,5679458
651,1762621
652,16412
653,125130
654,21488912
655,2077578
656,22034
657,56702
658,10950000
659,7175811
660,4315127
661,2964427
662,9289770
663,2542859
664,5027821
665,52202007
666,8078145
667,178140
668,127339
669,3417574
670,8437232
671,100164
672,47700
673,3879192
674,78772657
675,233630
676,93540
677,240523
678,535685
679,1579370
680,18964000
681,5694247
682,112595
683,8650387
684,682335000
685,3918628
686,5518104
687,16461830
688,1096638
689,17629979
690,200372
691,216096
692,1486553
693,4432217
694,7623294
695,130860
696,8227
697,577913
698,9670685
699,74714353
700,100628
701,62918
702,4684483
703,3638109
704,11912803
705,4948986
706,28871383
707,1088854
708,31296651
709,1258857
710,23798430
711,4523309
712,436293
713,48582611
714,35969
715,48855
716,517580
717,53650000
718,3816100
719,7300116
720,24889
721,3672556
722,387641
723,635011
724,266000
725,8479625
726,93413
727,36400
728,4595510
729,71286
730,622575
731,3420900
732,2216704
733,4225675
734,4097755
735,10087947
736,95015297
737,48800
738,478825608
739,2852650
740,23680258
741,7888913
742,185653
743,2379000
744,51252000
745,1703651
746,1050213
747,96812000
748,11147859
749,8928511
750,2413700
751,6183584
752,44338
753,50525
754,27261747
755,378746
756,2273351
757,1985001
758,1191802
759,1607171
760,93211
761,17719
762,10597511
763,886057
764,2898950
765,324100
766,2210919
767,184245
768,4183
769,13478423
770,23168
771,2720000
772,5486319
773,97551
774,41462369
775,16114
776,1547450
777,5441613
778,322550
779,23198241
780,513409
781,1042383
782,10590
783,7679458
784,928734
785,718861
786,3933908
787,8973788
788,681637
789,85700
790,3693980
791,48032934
792,1946234
793,11965966
794,3666537
795,10604621
796,5275
797,2531800
798,593504
799,48387301
800,1238889
801,11062300
802,29012625
803,10569
804,2385946
805,30712000
806,2504530
807,12065468
808,9030355
809,2060339
810,954111
811,86847
812,61716
813,18797850
814,123960000
815,3105419
816,4516533
